no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,market_segment_type_Aviation,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status_Not_Canceled,room_type_reserved,total_nights,total_people,price_per_person,is_family,stay_duration_flag,lead_time_category_8-30j,lead_time_category_31-90j,lead_time_category_91-180j,lead_time_category_181j+,meal_plan_selected
2,0,0,3,0,148,2018,5,5,0,0,0,105.3,0,0,0,0,0,1,1,1,3,2,52.65,0,0,0,0,1,0,1
3,0,2,0,0,68,2018,4,24,0,0,0,133.2,2,0,0,0,0,1,1,4,2,3,44.4,0,0,0,1,0,0,1
2,0,0,2,0,30,2018,3,30,0,0,0,85.5,0,0,0,0,1,0,1,1,2,2,42.75,0,0,1,0,0,0,1
1,0,0,1,0,14,2018,11,3,0,0,0,112.0,1,0,0,0,0,1,0,1,1,1,112.0,0,0,1,0,0,0,1
2,2,0,2,0,110,2018,10,14,0,0,0,190.8,0,0,0,0,0,1,0,6,2,4,47.7,1,0,0,0,1,0,1
1,0,2,3,0,117,2018,6,5,0,0,0,110.0,0,0,0,0,1,0,1,1,5,1,110.0,0,0,0,0,1,0,1
2,0,1,4,0,85,2018,7,13,0,0,0,91.48,1,0,0,0,0,1,1,4,5,2,45.74,0,0,0,1,0,0,1
2,0,0,2,0,1,2018,10,20,0,0,0,135.0,2,0,0,0,0,1,1,1,2,2,67.5,0,0,0,0,0,0,0
1,0,1,2,0,25,2018,10,17,0,0,0,129.0,2,0,0,0,0,1,1,1,3,1,129.0,0,0,1,0,0,0,1
2,0,2,4,0,289,2018,12,28,0,0,0,70.55,2,0,0,0,0,1,0,1,6,2,35.275,0,0,0,0,0,1,0
2,0,1,4,0,28,2017,10,19,0,0,0,75.0,0,0,0,0,1,0,1,4,5,2,37.5,0,0,1,0,0,0,1
1,0,0,4,0,80,2018,3,29,0,0,0,72.25,0,0,0,0,0,1,1,1,4,1,72.25,0,0,0,1,0,0,0
2,0,0,1,0,11,2017,10,9,0,0,0,155.0,2,0,0,0,0,1,1,4,1,2,77.5,0,0,1,0,0,0,1
2,1,1,0,0,162,2018,7,25,0,0,0,121.5,2,0,0,0,0,1,0,1,1,3,40.5,1,0,0,0,1,0,1
2,0,2,5,0,155,2018,6,28,0,0,0,90.95,2,0,0,0,0,1,1,1,7,2,45.475,0,0,0,0,1,0,1
1,0,2,2,0,82,2018,5,22,0,0,0,109.65,0,0,0,0,0,1,1,1,4,1,109.65,0,0,0,1,0,0,1
3,0,2,4,0,27,2018,4,15,0,0,0,142.72,0,0,0,0,0,1,0,4,6,3,47.57333333333333,0,0,1,0,0,0,1
1,0,1,2,0,13,2018,5,9,0,0,0,90.0,0,0,0,0,1,0,1,1,3,1,90.0,0,0,1,0,0,0,1
2,0,0,2,0,245,2018,6,17,0,0,0,75.0,0,0,0,0,0,1,0,1,2,2,37.5,0,0,0,0,0,1,1
2,0,0,2,0,11,2018,11,18,0,0,0,111.0,1,0,0,0,0,1,0,1,2,2,55.5,0,0,1,0,0,0,1
2,0,2,2,0,266,2018,10,30,0,0,0,86.7,2,0,0,0,0,1,1,1,4,2,43.35,0,0,0,0,0,1,1
2,0,1,0,0,39,2018,3,28,0,0,0,117.9,1,0,0,0,0,1,1,1,1,2,58.95,0,0,0,1,0,0,1
1,0,0,2,0,13,2018,6,1,1,3,5,97.2727575083911,1,0,1,0,0,0,1,1,2,1,97.2727575083911,0,0,1,0,0,0,1
2,0,0,4,0,112,2018,5,4,0,0,0,101.58,1,0,0,0,0,1,1,1,4,2,50.79,0,0,0,0,1,0,0
2,0,1,2,0,88,2018,4,8,0,0,0,58.9,1,0,0,0,0,1,1,1,3,2,29.45,0,0,0,1,0,0,0
2,0,0,1,0,56,2018,6,8,0,0,0,120.0,0,0,0,0,1,0,1,1,1,2,60.0,0,0,0,1,0,0,1
2,0,2,3,0,73,2018,4,7,0,0,0,107.1,0,0,0,0,0,1,0,4,5,2,53.55,0,0,0,1,0,0,1
2,0,1,1,0,80,2018,5,2,0,0,0,126.9,1,0,0,0,0,1,1,1,2,2,63.45,0,0,0,1,0,0,1
2,0,0,3,0,130,2018,9,29,0,0,0,139.5,2,0,0,0,0,1,0,4,3,2,69.75,0,0,0,0,1,0,1
2,0,1,3,0,69,2018,4,4,0,0,0,80.75,1,0,0,0,0,1,1,1,4,2,40.375,0,0,0,1,0,0,0
2,0,0,2,0,273,2017,7,17,0,0,0,109.0,0,0,0,0,0,1,0,1,2,2,54.5,0,0,0,0,0,1,1
2,0,0,1,0,55,2018,4,6,0,0,0,104.0,0,0,0,0,1,0,1,1,1,2,52.0,0,0,0,1,0,0,1
1,0,0,3,0,4,2018,11,1,1,1,5,65.0,1,0,0,1,0,0,1,1,3,1,65.0,0,0,0,0,0,0,1
2,0,0,3,0,97,2018,5,24,0,0,0,140.4,0,0,0,0,0,1,1,4,3,2,70.2,0,0,0,0,1,0,1
2,0,0,3,0,44,2018,2,17,0,0,0,75.0,0,0,0,0,1,0,1,1,3,2,37.5,0,0,0,1,0,0,1
2,0,0,1,0,31,2018,4,14,0,0,0,94.5,0,0,0,0,0,1,0,1,1,2,47.25,0,0,0,1,0,0,0
2,0,1,0,0,0,2018,6,5,0,0,0,109.0,0,0,0,0,0,1,1,1,1,2,54.5,0,0,0,0,0,0,0
2,0,2,2,0,62,2018,11,12,0,0,0,105.0,2,0,0,0,0,1,1,1,4,2,52.5,0,0,0,1,0,0,1
2,0,2,2,0,86,2018,4,17,0,0,0,107.95,1,0,0,0,0,1,1,4,4,2,53.975,0,0,0,1,0,0,1
3,0,2,2,0,3,2018,10,7,0,0,0,215.6,1,0,0,0,0,1,1,7,4,3,71.86666666666666,0,0,0,0,0,0,1
2,0,1,1,0,197,2018,8,1,0,0,0,85.5,1,0,0,0,0,1,1,1,2,2,42.75,0,0,0,0,0,1,0
2,0,0,2,0,143,2018,7,12,0,0,0,105.3,2,0,0,0,0,1,1,1,2,2,52.65,0,0,0,0,1,0,1
1,0,2,1,0,23,2018,1,2,0,0,0,1.0,0,0,0,0,0,1,1,1,3,1,1.0,0,0,1,0,0,0,1
2,0,0,2,0,8,2018,6,15,0,0,0,156.0,0,0,0,0,0,1,0,4,2,2,78.0,0,0,1,0,0,0,1
1,0,0,2,0,13,2018,11,16,0,0,0,73.15,1,0,0,0,0,1,1,1,2,1,73.15,0,0,1,0,0,0,1
2,0,1,2,0,280,2018,9,19,0,0,0,110.0,0,0,0,0,0,1,0,1,3,2,55.0,0,0,0,0,0,1,1
2,1,1,0,0,11,2017,9,13,0,0,0,87.4,1,0,0,0,0,1,1,1,1,3,29.133333333333336,1,0,1,0,0,0,0
2,0,0,2,0,317,2018,9,15,0,0,0,120.0,0,0,0,0,0,1,0,1,2,2,60.0,0,0,0,0,0,1,1
2,0,1,2,0,185,2018,12,16,0,0,0,79.2,0,0,0,0,0,1,0,1,3,2,39.6,0,0,0,0,0,1,0
2,0,1,3,0,160,2018,6,30,0,0,0,90.95,1,0,0,0,0,1,1,1,4,2,45.475,0,0,0,0,1,0,1
2,0,0,4,0,104,2018,10,18,0,0,0,91.48,1,0,0,0,0,1,1,1,4,2,45.74,0,0,0,0,1,0,1
2,1,0,1,0,11,2018,11,5,0,0,0,150.0,1,0,0,0,0,1,0,1,1,3,50.0,1,0,1,0,0,0,1
2,0,0,1,0,2,2018,3,22,0,0,0,89.0,0,0,0,0,0,1,1,1,1,2,44.5,0,0,0,0,0,0,0
2,0,1,4,0,14,2018,8,17,0,0,0,91.43,1,0,0,0,0,1,1,1,5,2,45.715,0,0,1,0,0,0,0
2,0,0,2,0,22,2018,5,20,0,0,0,140.0,0,0,0,0,1,0,1,1,2,2,70.0,0,0,1,0,0,0,1
1,1,2,5,0,37,2017,10,24,0,0,0,87.78,0,0,0,0,0,1,1,1,7,2,43.89,1,0,0,1,0,0,0
2,0,0,2,0,292,2018,7,21,0,0,0,115.0,0,0,0,0,0,1,0,1,2,2,57.5,0,0,0,0,0,1,1
2,0,0,3,0,11,2017,9,9,0,0,0,80.85,1,0,0,0,0,1,1,1,3,2,40.425,0,0,1,0,0,0,1
2,0,1,3,0,86,2018,3,31,0,0,0,82.45,1,0,0,0,0,1,1,1,4,2,41.225,0,0,0,1,0,0,1
2,0,0,1,0,109,2018,10,11,0,0,0,108.0,0,0,0,0,0,1,0,1,1,2,54.0,0,0,0,0,1,0,0
2,0,1,1,0,72,2018,4,2,0,0,0,96.3,1,0,0,0,0,1,1,4,2,2,48.15,0,0,0,1,0,0,1
2,0,1,5,0,196,2018,8,22,0,0,0,99.45,0,0,0,0,0,1,0,1,6,2,49.725,0,0,0,0,0,1,1
2,0,0,2,0,56,2018,5,13,0,0,0,140.4,1,0,0,0,0,1,1,4,2,2,70.2,0,0,0,1,0,0,1
2,0,1,3,0,189,2018,8,8,0,0,0,72.25,0,0,0,0,1,0,1,1,4,2,36.125,0,0,0,0,0,1,1
2,0,1,4,0,126,2018,8,15,0,0,0,126.0,0,0,0,0,0,1,1,4,5,2,63.0,0,0,0,0,1,0,1
2,0,2,3,0,303,2018,8,19,0,0,0,78.0,0,0,0,0,0,1,0,1,5,2,39.0,0,0,0,0,0,1,1
1,0,2,2,0,81,2018,11,6,0,0,0,146.6,1,0,0,0,0,1,1,4,4,1,146.6,0,0,0,1,0,0,1
2,0,1,2,0,54,2018,10,10,0,0,0,118.8,0,0,0,0,0,1,0,1,3,2,59.4,0,0,0,1,0,0,1
1,0,0,1,0,15,2018,10,6,0,0,0,145.0,0,0,0,0,0,1,0,1,1,1,145.0,0,0,1,0,0,0,1
2,0,0,4,0,86,2018,4,6,0,0,0,84.58,0,0,0,0,0,1,0,1,4,2,42.29,0,0,0,1,0,0,1
2,0,1,2,0,161,2018,3,25,0,0,0,130.0,0,0,0,0,0,1,0,1,3,2,65.0,0,0,0,0,1,0,1
2,0,4,10,0,147,2018,8,3,0,0,0,118.88,1,0,0,0,0,1,0,4,14,2,59.44,0,1,0,0,1,0,1
2,0,1,2,0,92,2018,5,30,0,0,0,101.52,0,0,0,0,1,0,1,1,3,2,50.76,0,0,0,0,1,0,1
2,0,0,1,0,87,2017,9,11,0,0,0,100.0,0,0,0,1,0,0,0,1,1,2,50.0,0,0,0,1,0,0,1
2,0,2,1,0,109,2018,3,20,0,0,0,58.0,0,0,0,0,1,0,1,1,3,2,29.0,0,0,0,0,1,0,1
2,0,0,4,0,127,2018,3,23,0,0,0,61.5,2,0,0,0,1,0,1,1,4,2,30.75,0,0,0,0,1,0,1
